,producto,link,nombre_prod,Q,precio,anadir,precio_medida,medida,medida_rel,q_medida,medida_
0,"Aceite de oliva 0.4º Hacendado
Garrafa 5 L
15.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 0.4º Hacendado,Garrafa 5 L,15.50 € /ud.,Anadir al carro,15.50,ud.,5 L,5,L
1,"Aceite de oliva 0.4º Hacendado
Botella 1 L
3.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 0.4º Hacendado,Botella 1 L,3.20 € /ud.,Anadir al carro,3.20,ud.,1 L,1,L
2,"Aceite de oliva virgen extra Hacendado
Garrafa 3 L
11.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado,Garrafa 3 L,11.00 € /ud.,Anadir al carro,11.00,ud.,3 L,3,L
3,"Aceite de oliva virgen extra Hacendado
Botella 1 L
3.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado,Botella 1 L,3.95 € /ud.,Anadir al carro,3.95,ud.,1 L,1,L
4,"Aceite de oliva virgen extra Hacendado Gran Seleccion
Botella 750 ml
4.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado Gran Seleccion,Botella 750 ml,4.10 € /ud.,Anadir al carro,4.10,ud.,750 ml,750,ml
5,"Aceite de oliva 1º Hacendado
Garrafa 5 L
15.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 1º Hacendado,Garrafa 5 L,15.50 € /ud.,Anadir al carro,15.50,ud.,5 L,5,L
6,"Aceite de oliva 1º Hacendado
Botella 1 L
3.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva 1º Hacendado,Botella 1 L,3.20 € /ud.,Anadir al carro,3.20,ud.,1 L,1,L
7,"Aceite de oliva virgen Hacendado
Garrafa 3 L
10.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen Hacendado,Garrafa 3 L,10.00 € /ud.,Anadir al carro,10.00,ud.,3 L,3,L
8,"Aceite de oliva virgen Hacendado
Botella 1 L
3.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen Hacendado,Botella 1 L,3.50 € /ud.,Anadir al carro,3.50,ud.,1 L,1,L
9,"Aceite de oliva virgen extra Hacendado
Spray 200 ml
2.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Hacendado,Spray 200 ml,2.00 € /ud.,Anadir al carro,2.00,ud.,200 ml,200,ml
10,"Aceite de oliva virgen extra Picual Casa Juncal
Botella 500 ml
3.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,3.95 € /ud.,Anadir al carro,3.95,ud.,500 ml,500,ml
11,"Aceite de girasol refinado 0.2º Hacendado
Garrafa 5 L
6.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de girasol refinado 0.2º Hacendado,Garrafa 5 L,6.95 € /ud.,Anadir al carro,6.95,ud.,5 L,5,L
12,"Aceite de girasol refinado 0.2º Hacendado
Botella 1 L
1.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de girasol refinado 0.2º Hacendado,Botella 1 L,1.45 € /ud.,Anadir al carro,1.45,ud.,1 L,1,L
13,"Aceite de aguacate Ethnos
Botella 250 ml
5.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de aguacate Ethnos,Botella 250 ml,5.00 € /ud.,Anadir al carro,5.00,ud.,250 ml,250,ml
14,"Aceite de coco virgen Hacendado
Bote 450 ml
4.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de coco virgen Hacendado,Bote 450 ml,4.50 € /ud.,Anadir al carro,4.50,ud.,450 ml,450,ml
15,"Vinagre de vino blanco Hacendado
Botella 1 L
0.47 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Vinagre de vino blanco Hacendado,Botella 1 L,0.47 € /ud.,Anadir al carro,0.47,ud.,1 L,1,L
16,"Vinagre balsamico de Modena Hacendado
Botella 250 ml
1.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Vinagre balsamico de Modena Hacendado,Botella 250 ml,1.15 € /ud.,Anadir al carro,1.15,ud.,250 ml,250,ml
17,"Vinagre de manzana Hacendado
Botella 1 L
0.62 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Vinagre de manzana Hacendado,Botella 1 L,0.62 € /ud.,Anadir al carro,0.62,ud.,1 L,1,L
18,"Limon exprimido Hacendado
Botella 280 ml
0.88 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Limon exprimido Hacendado,Botella 280 ml,0.88 € /ud.,Anadir al carro,0.88,ud.,280 ml,280,ml
19,"Crema de vinagre balsamico de Modena Hacendado
Botella 250 g
1.60 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Crema de vinagre balsamico de Modena Hacendado,Botella 250 g,1.60 € /ud.,Anadir al carro,1.60,ud.,250 g,250,g
20,"Vinagre de Jerez reserva Hacendado
Botella 250 ml
1.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Vinagre de Jerez reserva Hacendado,Botella 250 ml,1.20 € /ud.,Anadir al carro,1.20,ud.,250 ml,250,ml
21,"Bebida aromatizada a base de vino para cocinar Abuela Carola
Botella 750 ml
1.90 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella 750 ml,1.90 € /ud.,Anadir al carro,1.90,ud.,750 ml,750,ml
22,"Vinagre de vino tinto Hacendado
Botella 1 L
0.57 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Vinagre de vino tinto Hacendado,Botella 1 L,0.57 € /ud.,Anadir al carro,0.57,ud.,1 L,1,L
23,"Reduccion de vinagre Pedro Ximenez Hacendado
Botella 300 g
2.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Reduccion de vinagre Pedro Ximenez Hacendado,Botella 300 g,2.00 € /ud.,Anadir al carro,2.00,ud.,300 g,300,g
24,"Aceite de oliva. vinagre y sal Merry
15 monodosis x 10 ml
1.35 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/112,Aceite de oliva. vinagre y sal Merry,15 monodosis x 10 ml,1.35 € /pack,Anadir al carro,1.35,pack,15 monodosis,15,monodosis
25,"Crema de vinagre balsamico de manzana Hacendado
Botella 250 g
2.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Crema de vinagre balsamico de manzana Hacendado,Botella 250 g,2.15 € /ud.,Anadir al carro,2.15,ud.,250 g,250,g
26,"Sal fina Hacendado
Paquete 1 kg
0.22 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal fina Hacendado,Paquete 1 kg,0.22 € /ud.,Anadir al carro,0.22,ud.,1 kg,1,kg
27,"Sal fina de mesa Hacendado
Bote 250 g
0.38 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal fina de mesa Hacendado,Bote 250 g,0.38 € /ud.,Anadir al carro,0.38,ud.,250 g,250,g
28,"Sal yodada fina Hacendado
Paquete 1 kg
0.22 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal yodada fina Hacendado,Paquete 1 kg,0.22 € /ud.,Anadir al carro,0.22,ud.,1 kg,1,kg
29,"Sal gruesa Hacendado
Paquete 1 kg
0.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal gruesa Hacendado,Paquete 1 kg,0.20 € /ud.,Anadir al carro,0.20,ud.,1 kg,1,kg
30,"Bicarbonato sodico Hacendado
Paquete 1 kg
1.19 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Bicarbonato sodico Hacendado,Paquete 1 kg,1.19 € /ud.,Anadir al carro,1.19,ud.,1 kg,1,kg
31,"Bicarbonato sodico Hacendado
Bote 300 g
0.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Bicarbonato sodico Hacendado,Bote 300 g,0.45 € /ud.,Anadir al carro,0.45,ud.,300 g,300,g
32,"Sal marina en escamas Polasal
Bote 125 g
1.85 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal marina en escamas Polasal,Bote 125 g,1.85 € /ud.,Anadir al carro,1.85,ud.,125 g,125,g
33,"Sal gruesa para hornear Hacendado
Paquete 2 kg
0.71 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal gruesa para hornear Hacendado,Paquete 2 kg,0.71 € /ud.,Anadir al carro,0.71,ud.,2 kg,2,kg
34,"Sal de ajo Hacendado
Bote 130 g
1.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal de ajo Hacendado,Bote 130 g,1.00 € /ud.,Anadir al carro,1.00,ud.,130 g,130,g
35,"Sal de frutas sabor limon Hacendado
Bote 250 g
1.59 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal de frutas sabor limon Hacendado,Bote 250 g,1.59 € /ud.,Anadir al carro,1.59,ud.,250 g,250,g
36,"Sal 60% menos de sodio Hacendado
Bote 250 g
1.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal 60% menos de sodio Hacendado,Bote 250 g,1.20 € /ud.,Anadir al carro,1.20,ud.,250 g,250,g
37,"Molinillo sal marina con hierbas Hacendado
Bote 110 g
1.60 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Molinillo sal marina con hierbas Hacendado,Bote 110 g,1.60 € /ud.,Anadir al carro,1.60,ud.,110 g,110,g
38,"Preparado para salmon ahumado Hacendado
Bote 750 g
2.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Preparado para salmon ahumado Hacendado,Bote 750 g,2.00 € /ud.,Anadir al carro,2.00,ud.,750 g,750,g
39,"Sal rosa del Himalaya Hacendado
Bote 250 g
1.70 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/112,Sal rosa del Himalaya Hacendado,Bote 250 g,1.70 € /ud.,Anadir al carro,1.70,ud.,250 g,250,g
40,"Oregano Hacendado
Bote 18 g
0.56 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Oregano Hacendado,Bote 18 g,0.56 € /ud.,Anadir al carro,0.56,ud.,18 g,18,g
41,"Perejil Hacendado
Bote 14 g
0.55 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Perejil Hacendado,Bote 14 g,0.55 € /ud.,Anadir al carro,0.55,ud.,14 g,14,g
42,"Hoja de laurel Hacendado
Paquete 12 g
0.66 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Hoja de laurel Hacendado,Paquete 12 g,0.66 € /ud.,Anadir al carro,0.66,ud.,12 g,12,g
43,"Hierbas provenzales Hacendado
Bote 25 g
0.70 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Hierbas provenzales Hacendado,Bote 25 g,0.70 € /ud.,Anadir al carro,0.70,ud.,25 g,25,g
44,"Albahaca Hacendado
Bote 20 g
0.65 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Albahaca Hacendado,Bote 20 g,0.65 € /ud.,Anadir al carro,0.65,ud.,20 g,20,g
45,"Romero Hacendado
Bote 40 g
0.80 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Romero Hacendado,Bote 40 g,0.80 € /ud.,Anadir al carro,0.80,ud.,40 g,40,g
46,"Tomillo Hacendado
Bote 28 g
0.69 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Tomillo Hacendado,Bote 28 g,0.69 € /ud.,Anadir al carro,0.69,ud.,28 g,28,g
47,"Eneldo hojas Hacendado
Bote 22 g
1.05 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Eneldo hojas Hacendado,Bote 22 g,1.05 € /ud.,Anadir al carro,1.05,ud.,22 g,22,g
48,"Cilantro Hacendado
Bote 12 g
1.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Cilantro Hacendado,Bote 12 g,1.15 € /ud.,Anadir al carro,1.15,ud.,12 g,12,g
49,"Colorante alimentario Hacendado
Bote 85 g
0.59 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Colorante alimentario Hacendado,Bote 85 g,0.59 € /ud.,Anadir al carro,0.59,ud.,85 g,85,g
50,"Colorante alimentario Hacendado
Caja 25 sobres (35 g)
1.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Colorante alimentario Hacendado,Caja 25 sobres (35 g),1.00 € /ud.,Anadir al carro,1.00,ud.,25 sobres,25,sobres
51,"Pimenton dulce Hacendado
Bote 56 g
0.55 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimenton dulce Hacendado,Bote 56 g,0.55 € /ud.,Anadir al carro,0.55,ud.,56 g,56,g
52,"Pimenton dulce Hacendado
Bote 75 g
0.90 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimenton dulce Hacendado,Bote 75 g,0.90 € /ud.,Anadir al carro,0.90,ud.,75 g,75,g
53,"Pimenton dulce de la Vera Hacendado
Bote 75 g
1.38 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimenton dulce de la Vera Hacendado,Bote 75 g,1.38 € /ud.,Anadir al carro,1.38,ud.,75 g,75,g
54,"Azafran molido Hacendado
Paquete 4 sobres (0.4 g)
1.55 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Azafran molido Hacendado,Paquete 4 sobres (0.4 g),1.55 € /ud.,Anadir al carro,1.55,ud.,4 sobres,4,sobres
55,"Azafran hebra Hacendado
Paquete 3 usos (0.38 g)
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Azafran hebra Hacendado,Paquete 3 usos (0.38 g),1.50 € /ud.,Anadir al carro,1.50,ud.,3 usos,3,usos
56,"Pimenton picante Hacendado
Bote 60 g
0.75 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimenton picante Hacendado,Bote 60 g,0.75 € /ud.,Anadir al carro,0.75,ud.,60 g,60,g
57,"Pimenton picante de la Vera Hacendado
Bote 75 g
1.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimenton picante de la Vera Hacendado,Bote 75 g,1.45 € /ud.,Anadir al carro,1.45,ud.,75 g,75,g
58,"Pimienta negra molida Hacendado
Bote 70 g
0.69 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimienta negra molida Hacendado,Bote 70 g,0.69 € /ud.,Anadir al carro,0.69,ud.,70 g,70,g
59,"Molinillo pimienta negra Hacendado
Bote 65 g
1.32 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Molinillo pimienta negra Hacendado,Bote 65 g,1.32 € /ud.,Anadir al carro,1.32,ud.,65 g,65,g
60,"Pimienta negra en grano Hacendado
Bote 70 g
0.75 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimienta negra en grano Hacendado,Bote 70 g,0.75 € /ud.,Anadir al carro,0.75,ud.,70 g,70,g
61,"Molinillo mix pimientas Hacendado
Bote 50 g
1.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Molinillo mix pimientas Hacendado,Bote 50 g,1.40 € /ud.,Anadir al carro,1.40,ud.,50 g,50,g
62,"Pimienta blanca molida Hacendado
Bote 70 g
1.05 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimienta blanca molida Hacendado,Bote 70 g,1.05 € /ud.,Anadir al carro,1.05,ud.,70 g,70,g
63,"Pimienta verde en grano Hacendado
Tarro 100 g
1.68 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimienta verde en grano Hacendado,Tarro 100 g,1.68 € /ud.,Anadir al carro,1.68,ud.,100 g,100,g
64,"Ajo granulado Hacendado
Bote 85 g
0.67 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Ajo granulado Hacendado,Bote 85 g,0.67 € /ud.,Anadir al carro,0.67,ud.,85 g,85,g
65,"Pinones ibericos Hacendado
Bote 50 g
4.55 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pinones ibericos Hacendado,Bote 50 g,4.55 € /ud.,Anadir al carro,4.55,ud.,50 g,50,g
66,"Cebolla frita crujiente Hacendado
Bote 150 g
0.85 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Cebolla frita crujiente Hacendado,Bote 150 g,0.85 € /ud.,Anadir al carro,0.85,ud.,150 g,150,g
67,"Canela molida Hacendado
Bote 52 g
0.51 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Canela molida Hacendado,Bote 52 g,0.51 € /ud.,Anadir al carro,0.51,ud.,52 g,52,g
68,"Canela en rama Hacendado
Bote 18 g
1.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Canela en rama Hacendado,Bote 18 g,1.20 € /ud.,Anadir al carro,1.20,ud.,18 g,18,g
69,"Comino molido Hacendado
Bote 58 g
0.63 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Comino molido Hacendado,Bote 58 g,0.63 € /ud.,Anadir al carro,0.63,ud.,58 g,58,g
70,"Comino en grano Hacendado
Bote 56 g
0.80 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Comino en grano Hacendado,Bote 56 g,0.80 € /ud.,Anadir al carro,0.80,ud.,56 g,56,g
71,"Curry Hacendado
Bote 57 g
0.62 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Curry Hacendado,Bote 57 g,0.62 € /ud.,Anadir al carro,0.62,ud.,57 g,57,g
72,"Nuez moscada molida Hacendado
Bote 58 g
1.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Nuez moscada molida Hacendado,Bote 58 g,1.10 € /ud.,Anadir al carro,1.10,ud.,58 g,58,g
73,"Cebolla en polvo Hacendado
Bote 60 g
0.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Cebolla en polvo Hacendado,Bote 60 g,0.95 € /ud.,Anadir al carro,0.95,ud.,60 g,60,g
74,"Cayena guindillas Hacendado
Bote 27 g
0.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Cayena guindillas Hacendado,Bote 27 g,0.95 € /ud.,Anadir al carro,0.95,ud.,27 g,27,g
75,"Cayena molida Hacendado
Bote 55 g
1.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Cayena molida Hacendado,Bote 55 g,1.15 € /ud.,Anadir al carro,1.15,ud.,55 g,55,g
76,"Curcuma Hacendado
Bote 60 g
1.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Curcuma Hacendado,Bote 60 g,1.15 € /ud.,Anadir al carro,1.15,ud.,60 g,60,g
77,"Jengibre molido Hacendado
Bote 49 g
1.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Jengibre molido Hacendado,Bote 49 g,1.10 € /ud.,Anadir al carro,1.10,ud.,49 g,49,g
78,"Sal de ajo Hacendado
Bote 130 g
1.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sal de ajo Hacendado,Bote 130 g,1.00 € /ud.,Anadir al carro,1.00,ud.,130 g,130,g
79,"Ñoras Hacendado
Paquete 25 g
0.96 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Ñoras Hacendado,Paquete 25 g,0.96 € /ud.,Anadir al carro,0.96,ud.,25 g,25,g
80,"Clavo en grano Hacendado
Bote 42 g
1.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Clavo en grano Hacendado,Bote 42 g,1.10 € /ud.,Anadir al carro,1.10,ud.,42 g,42,g
81,"Vainilla en rama Hacendado
Paquete 2 ud.
2.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Vainilla en rama Hacendado,Paquete 2 ud.,2.50 € /ud.,Anadir al carro,2.50,ud.,2 ud.,2,ud.
82,"Trufas
Tarro 15 g (10 g escurrido)
3.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Trufas,Tarro 15 g (10 g escurrido),3.50 € /ud.,Anadir al carro,3.50,ud.,15 g,15,g
83,"Anis en grano Hacendado
Bote 50 g
0.90 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Anis en grano Hacendado,Bote 50 g,0.90 € /ud.,Anadir al carro,0.90,ud.,50 g,50,g
84,"Pimientos choriceros dulces del cristal Hacendado
Paquete 50 g
1.60 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Pimientos choriceros dulces del cristal Hacendado,Paquete 50 g,1.60 € /ud.,Anadir al carro,1.60,ud.,50 g,50,g
85,"Sazonador para fajitas Hacendado sabor tex-mex
Sobre 30 g
0.79 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador para fajitas Hacendado sabor tex-mex,Sobre 30 g,0.79 € /ud.,Anadir al carro,0.79,ud.,30 g,30,g
86,"Sazonador al horno y microondas pollo al ajo y limon Hacendado
Caja 2 sobres (60 g)
0.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador al horno y microondas pollo al ajo y limon Hacendado,Caja 2 sobres (60 g),0.95 € /ud.,Anadir al carro,0.95,ud.,2 sobres,2,sobres
87,"Sazonador al horno y microondas pollo y costillas a las hierbas provenzales Hacendado
Caja 2 sobres (48 g)
0.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador al horno y microondas pollo y costillas a las hierbas provenzales Hacendado,Caja 2 sobres (48 g),0.95 € /ud.,Anadir al carro,0.95,ud.,2 sobres,2,sobres
88,"Sazonador sabor barbacoa Hacendado
Caja 2 sobres (48 g)
0.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador sabor barbacoa Hacendado,Caja 2 sobres (48 g),0.95 € /ud.,Anadir al carro,0.95,ud.,2 sobres,2,sobres
89,"Preparado para paella con azafran Hacendado
Bote 76 g
1.65 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Preparado para paella con azafran Hacendado,Bote 76 g,1.65 € /ud.,Anadir al carro,1.65,ud.,76 g,76,g
90,"Sazonador para paella con azafran Hacendado
Caja 5 sobres (20 g)
1.30 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador para paella con azafran Hacendado,Caja 5 sobres (20 g),1.30 € /ud.,Anadir al carro,1.30,ud.,5 sobres,5,sobres
91,"Sazonador para burritos Hacendado
Sobre 40 g
0.79 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador para burritos Hacendado,Sobre 40 g,0.79 € /ud.,Anadir al carro,0.79,ud.,40 g,40,g
92,"Sazonador pollo asado Hacendado
Bote 92 g
1.05 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador pollo asado Hacendado,Bote 92 g,1.05 € /ud.,Anadir al carro,1.05,ud.,92 g,92,g
93,"Sazonador espagueti Hacendado
Bote 45 g
1.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador espagueti Hacendado,Bote 45 g,1.40 € /ud.,Anadir al carro,1.40,ud.,45 g,45,g
94,"Molinillo sal marina con hierbas Hacendado
Bote 110 g
1.60 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Molinillo sal marina con hierbas Hacendado,Bote 110 g,1.60 € /ud.,Anadir al carro,1.60,ud.,110 g,110,g
95,"Sazonador ensalada Hacendado
Bote 95 g
1.55 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador ensalada Hacendado,Bote 95 g,1.55 € /ud.,Anadir al carro,1.55,ud.,95 g,95,g
96,"Sazonador barbacoa Hacendado
Bote 98 g
1.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador barbacoa Hacendado,Bote 98 g,1.40 € /ud.,Anadir al carro,1.40,ud.,98 g,98,g
97,"Sazonador al horno y microondas pescado a las finas hierbas Hacendado
Caja 2 sobres (28 g)
0.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador al horno y microondas pescado a las finas hierbas Hacendado,Caja 2 sobres (28 g),0.95 € /ud.,Anadir al carro,0.95,ud.,2 sobres,2,sobres
98,"Sazonador pescado Hacendado
Bote 95 g
1.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/115,Sazonador pescado Hacendado,Bote 95 g,1.40 € /ud.,Anadir al carro,1.40,ud.,95 g,95,g
99,"Mayonesa Hacendado
Bote 500 ml
1.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Mayonesa Hacendado,Bote 500 ml,1.00 € /ud.,Anadir al carro,1.00,ud.,500 ml,500,ml
100,"Mayonesa Hacendado
Bote 225 ml
0.70 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Mayonesa Hacendado,Bote 225 ml,0.70 € /ud.,Anadir al carro,0.70,ud.,225 ml,225,ml
101,"Mayonesa Hacendado
Bote 460 ml
1.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Mayonesa Hacendado,Bote 460 ml,1.10 € /ud.,Anadir al carro,1.10,ud.,460 ml,460,ml
102,"Mayonesa en sobres individuales Hacendado
12 sobres x 20 ml
1.00 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/116,Mayonesa en sobres individuales Hacendado,12 sobres x 20 ml,1.00 € /pack,Anadir al carro,1.00,pack,12 sobres,12,sobres
103,"Mayonesa Hellmann's
Tarro 475 ml
1.99 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Mayonesa Hellmann's,Tarro 475 ml,1.99 € /ud.,Anadir al carro,1.99,ud.,475 ml,475,ml
104,"Mayonesa Hellmann's
Tarro 225 ml
1.25 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Mayonesa Hellmann's,Tarro 225 ml,1.25 € /ud.,Anadir al carro,1.25,ud.,225 ml,225,ml
105,"Salsa ligera Ligeresa
Tarro 475 ml
1.99 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Salsa ligera Ligeresa,Tarro 475 ml,1.99 € /ud.,Anadir al carro,1.99,ud.,475 ml,475,ml
106,"Salsa ligera Ligeresa
Tarro 225 ml
1.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Salsa ligera Ligeresa,Tarro 225 ml,1.00 € /ud.,Anadir al carro,1.00,ud.,225 ml,225,ml
107,"Salsa ligera Ligeresa
Bote 430 ml
1.70 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Salsa ligera Ligeresa,Bote 430 ml,1.70 € /ud.,Anadir al carro,1.70,ud.,430 ml,430,ml
108,"Mayonesa Ybarra
Bote 500 ml
1.60 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Mayonesa Ybarra,Bote 500 ml,1.60 € /ud.,Anadir al carro,1.60,ud.,500 ml,500,ml
109,"Salsa fina Kraft
Tarro 430 ml
1.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Salsa fina Kraft,Tarro 430 ml,1.15 € /ud.,Anadir al carro,1.15,ud.,430 ml,430,ml
110,"Mayonesa Musa
Tarro 540 ml
1.65 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Mayonesa Musa,Tarro 540 ml,1.65 € /ud.,Anadir al carro,1.65,ud.,540 ml,540,ml
111,"Salsa ligera Hacendado
Tarro 500 ml
1.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/116,Salsa ligera Hacendado,Tarro 500 ml,1.00 € /ud.,Anadir al carro,1.00,ud.,500 ml,500,ml
