,producto,precio,cantidad,medida
1847,Morcilla de arroz y cebolla,1.34,0.3,kg
1848,Butifarra fresca,3.02,0.64,kg
1849,Butifarra blanca aperitivo,1.91,0.3,kg
1850,Longaniza fresca estilo criollo,2.69,0.42,kg
1851,Chorizo criollo aperitivo,2.23,0.33,kg
1852,Chorizo dulce aperitivo,2.59,0.36,kg
1853,Chorizo picante aperitivo,2.52,0.35,kg
1854,Chorizo oreado en tripa natural,3.32,0.52,kg
1855,Morcilla de cebolla aperitivo,2.07,0.36,kg
1856,Burger Crunchy Chicken,1.99,0.48,kg
1857,Burger de vacuno y cerdo,3.35,3.24,kg
1858,Burger de vacuno,3.61,3.24,kg
1859,Burger de pollo,3.5,3.24,kg
1860,Burger de vacuno gruesas,3.0,0.72,kg
1861,Burger de vacuno y cerdo con jamon y cebolla caramelizada,2.1,0.48,kg
1862,Burger de pavo y espinacas,1.95,0.48,kg
1863,Burger de pavo y pollo,3.52,3.24,kg
1864,Mini burgers de pollo,2.3,2.24,kg
1865,Mini burgers de vacuno y cerdo,2.17,2.24,kg
1866,Burger de vacuno y cerdo gruesas,2.6,0.72,kg
1867,Burger de pollo certificado gruesas alimentado con un 50% de maiz,3.0,0.72,kg
1868,Burger de cerdo iberico gruesas,2.81,0.72,kg
1869,Burger de vacuno y cerdo con ajo y perejil,2.0,0.48,kg
1870,Burger de pollo y zanahoria,1.95,0.48,kg
1871,Burger de vacuno angus gruesa,4.28,0.72,kg
1872,Burger de pollo y verduras,2.21,0.48,kg
1873,Burger de pollo y queso,2.3,0.48,kg
1874,Preparado de carne picada vacuno y cerdo,3.19,0.5,kg
1875,Preparado de carne picada vacuno y cerdo,5.19,1.0,kg
1876,Preparado de carne picada cerdo,2.39,0.5,kg
1877,Preparado de carne picada cerdo,4.7,1.0,kg
1878,Preparado de carne picada vacuno,3.09,0.5,kg
1879,Preparado de carne picada vacuno,5.19,1.0,kg
1880,Preparado de carne picada pollo y pavo,3.2,0.5,kg
1881,Preparado de carne picada pollo y pavo,5.6,1.0,kg
1882,Albondigas de cerdo,3.98,20.16,kg
1883,Filetes de vacuno 1º B anojo para plancha o guisar,4.5,0.5,kg
1884,Tacos de vacuno anojo para guisar,4.85,0.6,kg
1885,Lomo de vacuno anojo para plancha,7.45,0.5,kg
1886,Filetes de vacuno al ajillo,5.09,0.45,kg
1887,Solomillo de vacuno anojo para plancha,9.57,0.3,kg
1888,Carpaccio de vacuno,2.99,0.11,kg
1889,Filetes de vacuno anojo para plancha,5.45,0.5,kg
1890,Entrecot de vacuno anojo fino para barbacoa o plancha,8.95,0.5,kg
1891,Entrecot de vacuno anojo grueso para barbacoa o plancha,10.74,0.6,kg
1892,Churrasco de vacuno anojo para barbacoa o plancha,3.45,0.5,kg
1893,Entrecot de ternera blanca para plancha,11.2,0.5,kg
1894,Filetes higado de vacuno anojo,3.85,0.5,kg
1895,Filetes de vacuno anojo para empanar,5.1,0.5,kg
1896,Filetes de ternera blanca para plancha,7.11,0.45,kg
1897,Churrasco de vacuno marinado,3.63,0.52,kg
1898,Entrecot de vacuno angus para barbacoa o plancha,10.89,0.33,kg
1899,Pieza solomillo de vacuno anojo para horno,40.45,45.0,kg
1900,Chuleton de vacuno anojo para barbacoa o plancha,8.53,0.55,kg
1901,Pieza de vacuno anojo para asar horno,12.67,28.0,kg
1902,Callos de vacuno,3.8,0.55,kg
1903,Morro de vacuno,2.16,0.45,kg
1904,Patas de vacuno,2.11,0.48,kg
1905,Filete de vacuno anojo familiar para plancha o guisar,6.87,0.8,kg
1906,Nuggets de pollo Hacendado ultracongelados,2.25,0.5,kg
1907,Croquetas de pollo Hacendado ultracongeladas,0.95,0.5,kg
1908,Delicias de pollo Hacendado ultracongeladas,2.9,0.5,kg
1909,Croquetas de cocido Hacendado ultracongeladas,1.4,0.35,kg
1910,Nuggets de pavo Hacendado ultracongelados,2.6,0.4,kg
1911,Albondigas de carne Tenedor Plata ultracongeladas,1.7,0.4,kg
1912,Brochetas de pollo,3.05,0.345,kg
1913,Flautas de pollo y queso,1.6,0.273,kg
1914,Flautas de bacon y queso,1.6,0.276,kg
1915,Lomo de cerdo adobado,3.13,0.47,kg
1916,San Jacobos de cerdo,1.64,0.4,kg
1917,Pechugas de pollo finas hierbas marinadas,4.74,0.65,kg
1918,Medallones pechuga de pollo marinado,3.89,0.65,kg
1919,Pechugas de pollo empanadas marinadas,4.23,0.65,kg
1920,Pinchos de cerdo sin varilla,4.21,0.51,kg
1921,Medallones preparado de solomillo cerdo provenzal,3.74,0.4,kg
1922,Filetes de vacuno al ajillo,5.09,0.45,kg
1923,Alas de pollo adobadas,3.26,0.68,kg
1924,Fiambre de magro de cerdo adobado,3.26,0.45,kg
1925,Chuletas de pavo al ajillo,3.57,0.6,kg
1926,Costilla de cerdo iberico adobada,2.34,0.6,kg
1927,Brochetas de pavo,3.93,0.5,kg
1928,Filetes lomo al ajillo,3.63,0.5,kg
1929,Pechugas de pavo pimenton,4.0,0.58,kg
1930,Fiambre de pechuga de pavo adobada,3.87,0.45,kg
1931,Filetes de cerdo empanados,2.56,0.4,kg
1932,Pinchos de cerdo con varilla,3.22,1.208,kg
1933,Contramuslos de pollo marinados con piel,3.39,0.6,kg
1934,Nuggets de pollo,2.11,0.312,kg
1935,Tacos de pavo al ajillo,3.12,0.6,kg
1936,Chuletas de cerdo sajonia,2.31,0.25,kg
1937,Delicias de fiambre pollo y queso,2.7,0.29,kg
1938,Lomo de cerdo iberico adobado,4.06,0.22,kg
1939,Churrasco de vacuno marinado,3.63,0.52,kg
1940,Croquetas de pollo,3.2,0.335,kg
1941,Callos preparados de ternera Rogusa,2.95,0.5,kg
1942,Oreja de cerdo cocida adobada Rogusa,3.57,0.5,kg
1943,Pincho amarillo de cerdo con perejil,4.13,0.5,kg
1944,Pinchos de pollo con varilla,3.14,1.28,kg
1945,Panceta adobada torrezno,2.97,0.35,kg
1946,Lomo de cerdo adobado familiar,5.85,0.9,kg
1947,Fiambre de magreta de cerdo adobada cocida,2.71,0.42,kg
1948,Brochetas de pollo marinadas,3.6,0.4,kg
1949,Lagrimitas de pollo al limon,2.62,0.43,kg
1950,Cereales rellenos de leche Hacendado,1.95,0.5,kg
1951,Mini cereales rellenos de leche Hacendado,1.7,0.875,kg
1952,Cereales Choco Flakes Cuetara,2.6,0.55,kg
1953,Cereales rellenos de chocolate y avellana Hacendado,1.7,0.5,kg
1954,Mini cereales rellenos de chocolate y avellanas Hacendado,1.3,0.875,kg
1955,Cereales copos de maiz Corn Flakes Hacendado,1.05,0.5,kg
1956,Cereales de arroz inflado Choco Rice Hacendado con chocolate,1.55,0.5,kg
1957,Cereales copos de maiz Corn Flakes Kellogg's,2.75,0.5,kg
1958,Cereales de arroz inflado Choco Krispies Kellogg's con chocolate,2.99,0.55,kg
1959,Cereales de trigo inflado Hacendado con miel,1.3,0.5,kg
1960,Cereales rellenos de chocolate negro Hacendado,1.99,0.5,kg
1961,Cereales Bolas de chocolate Hacendado,1.25,0.5,kg
1962,Cereales copos de trigo Chocodays Hacendado con chocolate,1.39,0.5,kg
1963,Cereales copos de maiz Corn Flakes Harvest Home sin gluten,2.0,0.375,kg
1964,Cereales rellenos de crema de cacao y avellana Hacendado sin gluten,1.9,0.4,kg
1965,Copos de avena BrÃ¼ggen,0.7,0.5,kg
1966,Cereales copos de trigo integral y arroz Special K Classic,2.9,0.5,kg
1967,Muesli Crunchy Hacendado con chocolate,1.75,0.5,kg
1968,Cereales copos de trigo integral y arroz Special K con chocolate negro,2.5,0.375,kg
1969,Cereales copos de trigo integral y arroz Hacendado 0% azucares anadidos,1.7,0.5,kg
1970,Cereales copos de trigo espelta integral Hacendado 0% azucares anadidos,1.6,0.4,kg
1971,Cereales integrales copos de trigo Chocapic Nestle con chocolate,2.99,0.625,kg
1972,Muesli Crunchy Hacendado con frutos secos,1.75,0.5,kg
1973,Muesli Crunchy Hacendado sin azucares anadidos,1.6,0.5,kg
1974,Cereales copos de trigo integral y arroz Hacendado banados en chocolate con leche,1.79,0.375,kg
1975,Cereales copos de trigo. arroz y cebada integral Hacendado con chocolate,1.95,0.45,kg
1976,Cereales copos de arroz y trigo integral Classic Hacendado,1.5,0.5,kg
1977,Muesli Crunchy Hacendado,1.25,0.5,kg
1978,Cereales de trigo entero integral Weetabix,2.7,0.43,kg
1979,Muesli Crunchy Hacendado con fruta,1.59,0.5,kg
1980,Avena molida Hacendado,1.0,0.5,kg
1981,Cereales All-Bran Kellogg's con chocolate,2.85,0.375,kg
1982,Cereales copos de trigo integral y arroz Hacendado con frutos rojos,1.4,0.3,kg
1983,Salvado de avena Hacendado,1.15,0.5,kg
1984,Cereales y semillas granola Hacendado con frutos secos,1.85,0.4,kg
1985,Cereales copos de trigo integral Fruta & Fibra Hacendado,1.49,0.45,kg
1986,Cereales con salvado de trigo Fibra Sticks Hacendado,1.4,0.5,kg
1987,Muesli Hacendado con frutas,1.5,1.0,kg
1988,Muesli Hacendado 50% frutas y frutos secos,1.75,0.5,kg
1989,Salvado de trigo integral Hacendado,0.89,0.25,kg
1990,Muesli Hacendado con quinoa. chia y chocolate negro,1.8,0.4,kg
1991,Cereales Cereal Mix Hacendado 0% azucares anadidos,2.3,0.375,kg
1992,Cereales Avena Crunchy Hacendado,1.75,0.4,kg
1993,Barritas de cereales Hacendado chocolate con leche,1.15,0.72,kg
1994,Barritas de cereales Hacendado con chocolate blanco,1.1,0.828,kg
1995,Barritas de cereales muesli Hacendado con chocolate,0.99,0.828,kg
1996,Barritas de sesamo Schock's,0.95,0.45,kg
1997,Barritas de cereales muesli Hacendado frutos secos,0.97,0.9,kg
1998,Barritas de cereales Hacendado con avena. chocolate negro y naranja,1.15,1.008,kg
1999,Barritas de cereales Hacendado con arandanos,1.35,0.72,kg
2000,Barrita con proteinas Enervit Sport sabor yogur y vainilla,2.95,0.36,kg
2001,Barrita sustitutivo de comida Belladieta sabor avena y chocolate con leche,5.4,1.92,kg
2002,Barritas de frutos secos Hacendado,1.75,0.48,kg
2003,Barrita con proteinas Enervit Sport sabor coco y chocolate,2.95,0.36,kg
2004,Barrita sustitutivo de comida Belladieta sabor chocolate negro,5.4,1.92,kg
2005,Barrita de frutos secos y vitaminas Enervit Sport,2.8,0.315,kg
2006,Barritas de cereales muesli Hacendado con albaricoque,0.98,0.9,kg
2007,Galletas Maria dorada Hacendado,1.0,3.2,kg
2008,Galletas Dinosaurus con cereales,1.9,2.632,kg
2009,Galletas tostadas Tosta Rica,2.0,1.71,kg
2010,Galletas tostadas Animadas Hacendado,1.4,1.8,kg
2011,Galletas Relieve Hacendado,1.1,1.935,kg
2012,Galletas Maria Hacendado,1.0,3.2,kg
2013,Galletas Minis Hacendado 0% azucares anadidos,1.75,0.8,kg
2014,Galletas Maria dorada Hacendado 0% azucares anadidos,1.55,0.8,kg
2015,Galletas Maria Fontaneda,2.06,3.2,kg
2016,Galletas Maria sin gluten y sin lactosa Hacendado,1.3,0.205,kg
2017,Galletas tradicionales Hacendado,1.35,1.2,kg
2018,Galletas Maria hojaldrada Hacendado,1.15,1.44,kg
2019,Galletas tostadas Hacendado,0.95,3.2,kg
2020,Galletas canela Hacendado,1.27,1.0,kg
2021,Galletas con huevo y leche Hacendado,1.35,0.35,kg
2022,Galletas Digestive Hacendado,1.2,1.6,kg
2023,Galletas Maria integral Hacendado,1.0,3.2,kg
2024,Galletas Digestive avena Hacendado,1.1,0.425,kg
2025,Galletas Digestive 0% azucares anadidos Hacendado,1.25,0.4,kg
2026,Galletas Cereales & fibra Hacendado,1.0,0.285,kg
2027,Galletas Integral Hacendado,1.4,0.92,kg
2028,Galletas de espelta Hacendado 0% azucares anadidos,1.25,0.2,kg
2029,Galletas tostadas al horno Flora,1.29,0.9,kg
2030,Galletas Digestive fibra 23% Hacendado crunchy,1.6,0.96,kg
2031,Galletas Digestive manzana & avena Hacendado,1.4,3.072,kg
2032,Galletas Cookies Hacendado,0.8,0.225,kg
2033,Galletas rebuenas Hacendado rellenas de chocolate,0.8,0.5,kg
2034,Galletas mini Oreo,1.45,0.64,kg
2035,Galletas Oreo,1.05,0.154,kg
2036,Galletas Chocominis sabor chocolate Hacendado,1.75,0.5,kg
2037,Galletas Digestive chocolate con leche Hacendado,0.9,0.3,kg
2038,Galletas Roditas banadas con chocolate blanco Hacendado,1.2,1.2,kg
2039,Galletas mini caritas Hacendado con crema de cacao,1.45,2.632,kg
2040,Galletas Caocream Hacendado rellenas de crema,1.4,4.4,kg
2041,Galletas Choco negro con chocolatina Hacendado,1.1,0.6,kg
2042,Barritas de galleta Chips Ahoy,1.0,0.7,kg
2043,Bizcochitos Lulu el osito,1.25,0.75,kg
2044,Galletas mini cookies Hacendado,1.2,0.64,kg
2045,Galletas crujientes chocolate y avena Hacendado,1.58,0.15,kg
2046,Palitos recubiertos de chocolate negro Rolling Choc Hacendado,1.05,0.09,kg
2047,Galletas con chocolate y crema de leche Hacendado,1.85,2.144,kg
2048,Galletas caocream chocolate blanco Hacendado rellenas de crema,1.1,1.512,kg
2049,Galletas rellenas de chocolate Hacendado 0% azucares anadidos,1.0,0.25,kg
2050,Barquillos rellenos sabor nata Hacendado,0.8,0.21,kg
2051,Barquillos rellenos de chocolate Hacendado,0.8,0.21,kg
2052,Galletas con chocolate blanco Hacendado,1.05,1.4148000000000003,kg
2053,Galletas rellenas de naranja Hacendado banadas de chocolate,1.0,0.3,kg
2054,Galletas Digestive avena Hacendado con chocolate,1.2,0.3,kg
2055,Barquillos rellenos de nata Hacendado 0% azucares anadidos,1.0,0.21,kg
2056,Galletas gofre rellenas de caramelo Hacendado,1.65,4.0,kg
2057,Galletas cookies sin gluten y sin lactosa Hacendado,1.75,0.2,kg
2058,Barquillos rellenos de chocolate Hacendado,1.95,0.2,kg
2059,Barquillos rellenos de turron Hacendado,1.95,0.2,kg
2060,Galletas caocream chocolate con leche Hacendado rellenas de crema,1.1,1.512,kg
2061,Galletas Choco leche con chocolatina Hacendado,1.1,0.6,kg
2062,Galletas crujientes sin gluten rellenas de crema de cacao Hacendado,2.0,1.08,kg
2063,Galletas Maria choco Hacendado,0.85,0.265,kg
2064,Galletas Roditas banadas con chocolate con leche Hacendado,1.2,1.2,kg
2065,Tartaletes con relleno de fresa Hacendado,0.9,0.15,kg
2066,Chocolate con leche Bites Cadbury con relleno sabor vainilla y trozos de galleta,1.2,0.11,kg
2067,Chocolate con leche Crunchie Rocks Cadbury con copos de maiz y trozos de caramelo,1.2,0.11,kg
2068,Galletas Roditas banadas con chocolate negro Hacendado,1.2,1.2,kg
2069,Bizcocho banado en chocolate con leche Cadbury delight,1.5,0.175,kg
2070,Barquillos con crema de avellanas Hacendado,1.4,0.25,kg
2071,Galletas Cookie Soft Hacendado limon y chocolate blanco,1.25,0.175,kg
2072,Galletas Diverkao Hacendado,1.45,2.496,kg
2073,Galletas cacahuete y chocolate Hacendado,1.25,0.15,kg
2074,Tubitos banados chocolate negro Hacendado,1.7,0.15,kg
2075,Tulipas banadas Hacendado,2.35,0.882,kg
2076,Rosquillas de chocolate con leche y coco Hacendado,1.5,0.3,kg
2077,Galletas rellenas con crema de cacao y avellanas 40% Hacendado,1.25,0.172,kg
2078,Galletas caramelizadas biscoff Lotus,1.25,2.232,kg
2079,Galletas con mantequilla Hacendado,1.0,0.125,kg
2080,Surtido de galletas y barquillos Hacendado,1.4,0.5,kg
2081,Galletas de mantequilla y chocolate Hacendado,2.1,0.34,kg
2082,Surtido de galletas Hacendado,2.5,1.0,kg
2083,Galletas de mantequilla Hacendado Belgas,1.45,1.08,kg
2084,Surtido de pastas artesanas Hacendado,1.85,0.5,kg
2085,Obleas redondas Hacendado,1.99,6.12,kg
2086,Bollitos glaseados Hacendado,1.8,0.41,kg
2087,Obleas para helado Hacendado,0.4,1.248,kg
2088,Tubitos Hacendado,1.53,0.175,kg
2089,Tortitas de maiz Hacendado,1.05,0.48,kg
2090,Tortitas de maiz con chocolate Hacendado,1.5,0.52,kg
2091,Tortitas de arroz con chocolate blanco sabor yogur Hacendado,1.35,0.48,kg
2092,Tortitas de arroz con chocolate Hacendado,1.55,0.488,kg
2093,Tortitas de arroz Hacendado,1.05,0.496,kg
2094,Tortitas de arroz con chocolate con leche Hacendado,1.55,0.52,kg
2095,Tortitas de avena y arroz Hacendado,1.25,0.36,kg
2096,Chicharron frito con pistachos Hacendado finas lonchas,2.0,0.15,kg
2097,Pechuga de pavo bajo en sal Hacendado finas lonchas,2.79,0.4,kg
2098,Pechuga de pavo bajo en sal Hacendado finas lonchas,1.89,0.225,kg
2099,Pechuga de pavo Hacendado finas lonchas,2.79,0.4,kg
2100,Pechuga de pavo Hacendado finas lonchas,1.79,0.2,kg
2101,Salchichon de pavo Hacendado lonchas,1.89,0.15,kg
2102,Pechuga de pavo 0% m.g Hacendado al corte,1.8,0.2,kg
2103,Lomo de pavo Hacendado lonchas,1.89,0.1,kg
2104,Longaniza de pavo extra Hacendado lonchas,1.79,0.125,kg
2105,Tiras de pechuga pollo al horno Hacendado,1.89,0.14,kg
2106,Jamon de pavo Hacendado finas lonchas,1.45,0.225,kg
2107,Dados de pavo Hacendado,1.89,0.2,kg
2108,Tiras de pechuga de pollo al natural Hacendado,1.89,0.14,kg
2109,Longaniza de pollo extra Hacendado sticks para picar,1.0,0.05,kg
2110,Pechuga de pollo braseada Hacendado finas lonchas,1.89,0.2,kg
2111,Mortadela de pavo Hacendado finas lonchas,1.0,0.15,kg
2112,Pechuga de pavo al horno de lena Campofrio lonchas,1.55,0.125,kg
2113,Pechuga de pollo Hacendado finas lonchas,1.85,0.2,kg
2114,Pechuga de pavo 0% m.g Hacendado,2.74,0.5,kg
2115,Pechuga de pavo a las finas hierbas Hacendado finas lonchas,1.82,0.2,kg
2116,Pechuga de pollo Hacendado al corte,1.6,0.2,kg
2117,Pechuga de pavo natural Noel lonchas,2.3,0.12,kg
2118,Pollo relleno asado al horno La Carlotena lonchas,1.89,0.15,kg
2119,Jamon de pavo Hacendado,2.2,0.5,kg
2120,Longaniza de pavo Imperial extra Hacendado,2.09,0.235,kg
2121,Pechuga de pavo bajo en sal Hacendado,2.99,0.5,kg
2122,Pechuga de pollo Hacendado toque braseado,2.99,0.5,kg
2123,Pollo relleno con trufa y pistachos La Carlotena lonchas,1.89,0.125,kg
2124,Pollo relleno con jamon serrano y queso La Carlotena lonchas,1.89,0.125,kg
2125,Pechuga de pavo pimienta Hacendado finas lonchas,2.45,0.1,kg
2126,Chicharron cocido Hacendado finas lonchas,1.5,0.15,kg
2127,Pechuga de pavo cocida Hacendado,2.1,0.4,kg
2128,Fiambre de pechuga de pavo Sajonia Serrano ahumado natural,2.91,0.36,kg
2129,Pechuga de pollo al natural Hacendado,1.65,0.104,kg
2130,Jamon cocido extra Hacendado finas lonchas,2.89,0.45,kg
2131,Jamon cocido extra Hacendado finas lonchas,1.9,0.2,kg
2132,Jamon cocido extra Hacendado lonchas,1.79,0.2,kg
2133,Jamon cocido natural Hacendado lonchas,2.1,0.2,kg
2134,Jamon cocido extra sandwich Hacendado lonchas,1.69,0.25,kg
2135,Maxi york Hacendado finas lonchas,1.99,0.5,kg
2136,Jamon cocido extra Noel lonchas,1.99,0.2,kg
2137,Jamon cocido jugoso Hacendado,1.6,0.225,kg
2138,Jamon cocido braseado Noel lonchas,1.95,0.2,kg
2139,Jamon cocido Noel lonchas,2.3,0.12,kg
2140,Fiambre magro sandwich Hacendado lonchas,1.29,0.3,kg
2141,Jamon cocido bajo en sal Hacendado finas lonchas,1.99,0.225,kg
2142,Lacon cortado a mano Noel,3.12,0.25,kg
2143,Magro de cerdo cocido Coren,1.95,0.24,kg
2144,Maxi york Hacendado,4.6,2.0,kg
2145,Lacon al horno Noel lonchas,1.89,0.2,kg
2146,Maxi lomo Hacendado finas lonchas,2.08,0.4,kg
2147,Dados de jamon cocido Hacendado,2.0,0.2,kg
2148,Bacon Hacendado cintas,1.81,0.25,kg
2149,Bacon Oscar Mayer lonchas,1.95,0.15,kg
2150,Panceta sin corteza La Selva lonchas,1.99,0.2,kg
2151,Bacon ahumado Monells lonchas,1.84,0.21,kg
2152,Bacon ahumado sin corteza Monells,2.45,0.31,kg
2153,Bacon adobado La Alegria curado,2.57,0.27,kg
2154,Panceta salada iberica La Hacienda del iberico,2.34,0.36,kg
2155,Datiles con bacon La Selva,2.65,0.15,kg
2156,Bacon adobado curado La Alegria,2.05,0.15,kg
2157,Salchichas cocidas estilo Frankfurt Hacendado de pollo y cerdo sabor ahumado,1.45,0.704,kg
2158,Salchichas cocidas Hacendado de pollo y pavo sabor ahumado,1.16,0.4,kg
2159,Salchichas cocidas Schara de cerdo ahumadas,3.29,0.34,kg
2160,Salchichas cocidas estilo Viena con queso Hacendado de pollo y cerdo sabor ahumado,1.23,0.4,kg
2161,Salchichas cocidas con leche Campofrio de pollo. cerdo y pavo,0.79,0.17,kg
2162,Salchichas cocidas hot dog bocadillo Oscar Mayer Classic de pollo y cerdo sabor ahumado,1.49,0.275,kg
2163,Salchichas cocidas estilo Frankfurt con queso Hacendado de pollo y cerdo sabor ahumado,1.55,0.64,kg
2164,Salchichas cocidas bocata Hacendado de pollo y pavo sabor ahumado,1.55,0.4,kg
2165,Salchichas cocidas Hacendado pollo y pavo con queso,1.65,0.4,kg
2166,Salchichas cocidas bocata gourmet Hacendado de cerdo sabor ahumado,1.9,0.35,kg
2167,Salchichas cocidas bocata estilo Bratwurst Hacendado,1.9,0.4,kg
2168,Salchichas cocidas pikante Schara de cerdo ahumadas,2.49,0.17,kg
2169,Salchichas cocidas estilo Viena Hacendado,1.12,0.4,kg
2170,Salchichas cocidas bocata queso Hacendado,1.64,0.35,kg
2171,Salchichas cocidas bocata Hacendado,1.41,0.35,kg
2172,Salchichas cocidas Frankfurt La Selva,1.9,128.8,kg
2173,Salchichas cocidas solo 3% de grasa Hacendado de pavo sabor ahumado,2.0,0.4,kg
2174,Salchichas cocidas Vegana Hacendado,2.95,0.4,kg
2175,Salchichas cocidas de pollo Hacendado,1.45,0.5,kg
2176,Salchichas cocidas estilo Frankfurt Campofrio sabor ahumado,1.69,0.56,kg
2177,Chopped cocido en lata Hacendado finas lonchas,1.37,0.15,kg
2178,Chopped veggie Noel lonchas,1.19,0.1,kg
2179,Chopped cerdo Hacendado lonchas,1.0,0.25,kg
2180,Chopped Hacendado,1.65,0.5,kg
2181,Mortadela Hacendado lonchas,0.9,0.25,kg
2182,Mortadela con aceitunas Hacendado lonchas,0.95,0.25,kg
2183,Mortadela italiana Hacendado finas lonchas,1.49,0.15,kg
2184,Mortadela veggie con aceitunas Noel lonchas,1.19,0.1,kg
2185,Mortadela veggie con aceitunas Noel,2.49,0.325,kg
2186,Mortadela Hacendado,1.55,0.5,kg
2187,Galantina con aceituna y pimiento Hacendado finas lonchas,1.36,0.15,kg
2188,Galantina con pistacho y trufa Hacendado finas lonchas,1.54,0.15,kg
2189,Mortadela de pavo Hacendado finas lonchas,1.0,0.15,kg
2190,Chicharron cocido Hacendado finas lonchas,1.5,0.15,kg
2191,Mortadela tradicional Hacendado lonchas,1.27,0.15,kg
2192,Fuet espetec extra Hacendado,1.99,1.0,ud
2193,Salchichon extra Hacendado lonchas,1.43,0.24,kg
2194,Salchichon de pavo Hacendado lonchas,1.89,0.15,kg
2195,Longaniza Hacendado sticks para picar,1.0,0.05,kg
2196,Lomo de pavo Hacendado lonchas,1.89,0.1,kg
2197,Longaniza de pavo extra Hacendado lonchas,1.79,0.125,kg
2198,Salchichon extra Hacendado lonchas,1.65,0.18,kg
2199,Longaniza de payes Hacendado lonchas,1.5,0.125,kg
2200,Salami extra Hacendado lonchas,1.45,0.24,kg
2201,Salchichon extra pimienta Hacendado finas lonchas,1.38,0.1,kg
2202,Salchichon de cebo iberico cortado a maquina,1.98,0.09,kg
2203,Salchichon de bellota iberico cortado a maquina,2.34,0.09,kg
2204,Salchichon iberico La Hacienda del iberico lonchas,1.95,0.125,kg
2205,Longaniza de pavo Imperial extra Hacendado,2.09,0.235,kg
2206,Longaniza clasica extra Hacendado,2.2,1.0,ud
2207,Salami montanes El Pozo,1.35,1.0,ud
2208,Salchichon cular iberico extra La Hacienda del iberico,5.45,0.5,kg
2209,Mini salchichon iberico extra La Hacienda del iberico,2.18,0.2,kg
2210,Salchichon cular iberico extra La Hacienda del iberico,8.94,0.82,kg
2211,Salchichon de bellota iberico La Hacienda del iberico,15.0,1.0,kg
2212,Salchichon de bellota iberico La Hacienda del iberico,6.45,0.43,kg
2213,Salchichon iberico extra La Hacienda del Iberico,3.98,0.44,kg
2214,Chorizo Pamplona extra Hacendado lonchas,1.52,0.225,kg
2215,Chorizo extra Hacendado lonchas,1.43,0.24,kg
2216,Chorizo de pavo Hacendado lonchas,1.89,0.15,kg
2217,Chorizo iberico La Hacienda del iberico lonchas,1.95,0.125,kg
2218,Taquitos de chorizo Revilla,2.25,0.2,kg
2219,Chorizo lonchas Revilla,1.0,0.07,kg
2220,Chorizo picante extra Hacendado lonchas,1.6,0.225,kg
2221,Chorizo extra pimienta Hacendado finas lonchas,1.38,0.1,kg
2222,Chorizo de bellota iberico cortado a maquina,2.34,0.09,kg
2223,Chorizo de cebo iberico cortado a maquina,1.98,0.09,kg
2224,Chorizo extra Hacendado sticks para picar,1.0,0.05,kg
2225,Chorizo dulce extra Hacendado,1.89,0.28,kg
2226,Chorizo picante extra Hacendado,1.89,0.28,kg
2227,Chorizo sarta iberico La Hacienda del iberico,2.58,0.22,kg
2228,Mini chorizo iberico extra La Hacienda del iberico,2.18,0.2,kg
2229,Chorizo de pavo imperial extra Hacendado,2.35,0.235,kg
2230,Chorizo de Tarancon Bricio,2.9,1.0,ud
2231,Chorizo cular iberico extra La Hacienda del iberico,5.45,0.5,kg
2232,Chorizo cular iberico extra La Hacienda del iberico,10.68,0.98,kg
2233,Chorizo de bellota iberico cular Covap,15.0,1.0,kg
2234,Chorizo de bellota iberico La hacienda del iberico,5.7,0.38,kg
2235,Chorizo iberico extra La Hacienda del Iberico,3.98,0.44,kg
2236,Lomo embuchado Hacendado lonchas,1.8,0.125,kg
2237,Cabecero de lomo Hacendado lonchas,1.72,0.125,kg
2238,Lomo de cebo iberico cortado a maquina,3.15,0.09,kg
2239,Lomo de bellota iberico cortado a maquina,4.32,0.09,kg
2240,Surtido de ibericos La Hacienda del iberico,5.95,0.2,kg
2241,Morcilla iberica La Hacienda del iberico,2.1,0.23,kg
2242,Lomo Hacendado,5.7,0.4,kg
2243,Cabecero de lomo Hacendado,4.32,0.32,kg
2244,Cana de lomo cebo iberico La Hacienda del iberico,40.0,6.0,kg
2245,Presa de bellota iberica Estrella de Castilla,20.8,0.52,kg
2246,Lomo de bellota 100% iberico Flor sierra de Aracena,16.0,0.4,kg
2247,Jamon serrano Incarlopsa lonchas extrafinas,2.19,0.12,kg
2248,Mini taquitos de jamon Incarlopsa,2.15,0.18,kg
2249,Jamon serrano Incarlopsa lonchas,3.49,0.24,kg
2250,Jamon serrano cortado a maquina,2.27,0.12,kg
2251,Jamon cebo iberico cortado a maquina,5.52,0.12,kg
2252,Jamon serrano reserva cortado a cuchillo,3.1,0.09,kg
2253,Jamon cebo iberico cortado a cuchillo,5.85,0.09,kg
2254,Jamon bellota iberico cortado a cuchillo,11.25,0.09,kg
2255,Jamon bellota iberico 100% cortado a cuchillo,13.95,0.09,kg
2256,Jamon serrano Incarlopsa medias lonchas,3.54,0.24,kg
2257,Paleta curada lonchas Paletas Marpa,3.65,0.24,kg
2258,Jamon de Trevelez Antonio Ãlvarez lonchas extra finas,2.9,0.12,kg
2259,Taquitos de jamon Incarlopsa,2.19,0.2,kg
2260,Taco jamon curado Marpa,3.4,0.22,kg
2261,Hueso garron Incarlopsa,0.87,0.29,kg
